iata,name,city,state,country,latitude,longitude
Placentia,Placentia,Placentia,Placentia,Placentia,33.8818,-117.8503
Encino,Encino,Encino,Encino,Encino,34.1568,-118.5231
Rancho Cucamonga,Rancho Cucamonga,Rancho Cucamonga,Rancho Cucamonga,Rancho Cucamonga,34.1487,-117.5118
Huntington Beach,Huntington Beach,Huntington Beach,Huntington Beach,Huntington Beach,33.711,-118.0438
Pico Rivera,Pico Rivera,Pico Rivera,Pico Rivera,Pico Rivera,33.9831,-118.0967
Washington,Washington,Washington,Washington,Washington,38.9651,-77.0654
Hastings,Hastings,Hastings,Hastings,Hastings,44.6849,-92.8849
Lakewood,Lakewood,Lakewood,Lakewood,Lakewood,33.8505,-118.1099
Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,Santa Rosa,38.438,-122.6753
San Carlos,San Carlos,San Carlos,San Carlos,San Carlos,37.498,-122.2672
"Yorkton, SK","Yorkton, SK","Yorkton, SK","Yorkton, SK","Yorkton, SK",51.202,-102.457
Canada,Canada,Canada,Canada,Canada,60,-95
Beverly Hills,Beverly Hills,Beverly Hills,Beverly Hills,Beverly Hills,34.0995,-118.4143
Wichita,Wichita,Wichita,Wichita,Wichita,37.6922,-97.3375
Aliso Viejo,Aliso Viejo,Aliso Viejo,Aliso Viejo,Aliso Viejo,33.5717,-117.7289
"Saanichton, BC","Saanichton, BC","Saanichton, BC","Saanichton, BC","Saanichton, BC",48.566,-123.4579
"Canmore, AB","Canmore, AB","Canmore, AB","Canmore, AB","Canmore, AB",51.0868,-115.3384
Henderson,Henderson,Henderson,Henderson,Henderson,37.8249,-87.5334
Granger,Granger,Granger,Granger,Granger,41.735,-86.1229
Hacienda Heights,Hacienda Heights,Hacienda Heights,Hacienda Heights,Hacienda Heights,34.0024,-117.9757
Norwalk,Norwalk,Norwalk,Norwalk,Norwalk,33.9022,-118.0817
Berkeley,Berkeley,Berkeley,Berkeley,Berkeley,37.8672,-122.2568
"Shawnigan Lake, BC","Shawnigan Lake, BC","Shawnigan Lake, BC","Shawnigan Lake, BC","Shawnigan Lake, BC",48.6504,-123.6145
Escondido,Escondido,Escondido,Escondido,Escondido,33.223,-117.1069
